raw_index,id,title,url,decision,reason,reading_source_id,duplicate_of
15,doi:10.12677/dsc.2018.73027,Research on Improvement of Transient Control Algorithm for Dual System Hybrid VTOL UAV Based on PX4,https://doi.org/10.12677/dsc.2018.73027,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
16,doi:10.12677/dsc.2020.92009,Research on the Total Energy Control System of Composite VTOL UAV Based on Px4,https://doi.org/10.12677/dsc.2020.92009,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
17,doi:10.17721/2519-481x/2021/70-05,DESIGN OF MULTIFUNCTIONAL UAV OF ROTOR TYPE ON THE BASE OF FIRMWARE ARDUPILOT,https://doi.org/10.17721/2519-481x/2021/70-05,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
18,doi:10.18260/1-2--56668,GPS Spoofing on UAV Simulation using Ardupilot,https://doi.org/10.18260/1-2--56668,exclude_out_of_scope,"exclude_out_of_scope: survey, review, tutorial or education material (not primary evidence)",,
19,doi:10.3389/fnbot.2024.1363366,On designing a configurable UAV autopilot for unmanned quadrotors,https://doi.org/10.3389/fnbot.2024.1363366,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
20,doi:10.3390/proceedings2019021008,UAV Trajectory Management: Ardupilot Based Trajectory Management System,https://doi.org/10.3390/proceedings2019021008,unresolved_metadata,'UAV trajectory management' on ArduPilot: trajectory reservations possible; no abstract retained,C021,
21,doi:10.4324/9781843142409-18,Contingency Fees and Conditional Fees in Debt Recovery Litigation,https://doi.org/10.4324/9781843142409-18,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
22,doi:10.7717/peerj-cs.3238/fig-5,"Figure 5: Autonomous UAV simulation setup using Gazebo, ArduPilot, MAVProxy and MAVROS.",https://doi.org/10.7717/peerj-cs.3238/fig-5,exclude_out_of_scope,"exclude_out_of_scope: non-primary record (figure, decision letter, review, preface, programme, front matter, empty title)",,
23,doi:10.7763/ijesd.2014.v5.499,Oil Spill Optimized Contingency and Recovery Techniques Using ADIOS2,https://doi.org/10.7763/ijesd.2014.v5.499,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
24,doi:10.1002/9780470987773.ch5,Conformance Testing,https://doi.org/10.1002/9780470987773.ch5,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
25,doi:10.1002/9781119564362.ch8,Rollouts and Refreshes with Configuration Designer and Autopilot,https://doi.org/10.1002/9781119564362.ch8,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
26,doi:10.1007/1-4020-0613-6_6765,failsafe operation,https://doi.org/10.1007/1-4020-0613-6_6765,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
27,doi:10.1007/978-0-387-34988-6_6,Timed systems behaviour and conformance testing — a mathematical framework,https://doi.org/10.1007/978-0-387-34988-6_6,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
28,doi:10.1007/978-1-4842-5531-5_2,ArduPilot Working Environment,https://doi.org/10.1007/978-1-4842-5531-5_2,exclude_out_of_scope,"exclude_out_of_scope: survey, review, tutorial or education material (not primary evidence)",,
29,doi:10.1007/978-94-009-0429-3,Failsafe Control Systems,https://doi.org/10.1007/978-94-009-0429-3,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
30,doi:10.1007/978-981-10-3382-7_14,Health Evaluation and Failsafe,https://doi.org/10.1007/978-981-10-3382-7_14,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
31,doi:10.1007/978-981-15-3138-5_12,Failsafe Logic Design Experiment,https://doi.org/10.1007/978-981-15-3138-5_12,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
32,doi:10.1007/springerreference_14166,failsafe,https://doi.org/10.1007/springerreference_14166,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
33,doi:10.1007/springerreference_14169,failsafe operation,https://doi.org/10.1007/springerreference_14169,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
34,doi:10.1007/springerreference_70973,"Conformance Testing for Biometric Data Interchange Formats, Standardization of",https://doi.org/10.1007/springerreference_70973,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
35,doi:10.1016/0011-684x(83)90260-5,Failsafe computing,https://doi.org/10.1016/0011-684x(83)90260-5,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
36,doi:10.1016/s0167-4048(98)80077-1,Firewalls aren't failsafe,https://doi.org/10.1016/s0167-4048(98)80077-1,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
37,doi:10.1037/e719372011-032,Failsafe in Consciousness,https://doi.org/10.1037/e719372011-032,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
38,doi:10.1051/matecconf/202541704018,Development and integration of an autopilot system for a full-sized aircraft using open-source UAV technology,https://doi.org/10.1051/matecconf/202541704018,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
39,doi:10.1055/b-0035-110301,c) Orthophosphonsäure-Derivate (R-PX4 ) (1 P-C-Bindung),https://doi.org/10.1055/b-0035-110301,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
40,doi:10.1057/978-1-137-53786-7_3,Failsafe Systems and Practical Reasoning,https://doi.org/10.1057/978-1-137-53786-7_3,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
41,doi:10.1080/08832320903449451,Making Knowledge Delivery Failsafe: Adding Step Zero in Hypothesis Testing,https://doi.org/10.1080/08832320903449451,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
42,doi:10.1097/00000542-197502000-00022,More Failsafe Failsafes,https://doi.org/10.1097/00000542-197502000-00022,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
43,doi:10.1109/acc.2012.6315053,Integrated guidance and autopilot for a path-following UAV via high-order sliding modes,https://doi.org/10.1109/acc.2012.6315053,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
44,doi:10.1109/access.2025.3596641,Finding Device Driver Bugs With Fuzzing PCIe Configuration Input,https://doi.org/10.1109/access.2025.3596641,exclude_out_of_scope,exclude_out_of_scope: fuzzing of non-UAV software,,
45,doi:10.1109/ares.2010.22,Configuration Fuzzing for Software Vulnerability Detection,https://doi.org/10.1109/ares.2010.22,exclude_out_of_scope,exclude_out_of_scope: fuzzing of non-UAV software,,
46,doi:10.1109/cadiag.2017.8075643,Improved modular UAV autopilot simulator for Pinguin BE aircraft,https://doi.org/10.1109/cadiag.2017.8075643,exclude_out_of_scope,"exclude_out_of_scope: simulation, testing or communications infrastructure without a timed safety/configuration policy or recovery behaviour",,
47,doi:10.1109/cca.2002.1040200,Combined adaptive autopilot for an UAV flight control,https://doi.org/10.1109/cca.2002.1040200,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
48,doi:10.1109/clustr.2003.1253338,A system recovery benchmark for clusters,https://doi.org/10.1109/clustr.2003.1253338,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
49,doi:10.1109/icicta.2010.648,The Design of Small UAV Autopilot Hardware System Based on DSP,https://doi.org/10.1109/icicta.2010.648,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
50,doi:10.1109/icosse58936.2023.00010,A Benchmark for Design Pattern Recovery Tools,https://doi.org/10.1109/icosse58936.2023.00010,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
51,doi:10.1109/icstcc.2018.8540682,Stabilizer Autopilot Design For Fixed Wing UAV Using ODSMC,https://doi.org/10.1109/icstcc.2018.8540682,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
52,doi:10.1109/irc.2018.00054,jUAV: A Real-Time Java UAV Autopilot,https://doi.org/10.1109/irc.2018.00054,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
53,doi:10.1109/iv55156.2024.10588730,MRS ArduPilot: An Adaptive ArduPilot Architecture Based on Model Reference Stabilization,https://doi.org/10.1109/iv55156.2024.10588730,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
54,doi:10.1109/olt.2003.1214390,Property coverage for quality assessment of fault tolerant or failsafe systems,https://doi.org/10.1109/olt.2003.1214390,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
55,doi:10.1109/prdc.2004.1276577,The system recovery benchmark,https://doi.org/10.1109/prdc.2004.1276577,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
56,doi:10.1109/sbft66712.2025.00014,Differential Performance Fuzzing of Configuration Options,https://doi.org/10.1109/sbft66712.2025.00014,exclude_out_of_scope,exclude_out_of_scope: fuzzing of non-UAV software,,
57,doi:10.1109/tencon.1989.176963,Design and analysis of a fault tolerant multiprocessor system with failsafe and failsafe-redundant interfacing schemes,https://doi.org/10.1109/tencon.1989.176963,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
58,doi:10.1109/tpsd.2008.4562731,UAV Autopilot Integration and Testing,https://doi.org/10.1109/tpsd.2008.4562731,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
59,doi:10.1109/wcica.2004.1340552,UAV tight formation flight modeling and autopilot designing,https://doi.org/10.1109/wcica.2004.1340552,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
60,doi:10.1111/ele.14015/v1/decision1,"Decision letter for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",https://doi.org/10.1111/ele.14015/v1/decision1,exclude_out_of_scope,"exclude_out_of_scope: non-primary record (figure, decision letter, review, preface, programme, front matter, empty title)",,
61,doi:10.1111/ele.14015/v1/review1,"Review for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",https://doi.org/10.1111/ele.14015/v1/review1,exclude_out_of_scope,"exclude_out_of_scope: non-primary record (figure, decision letter, review, preface, programme, front matter, empty title)",,
62,doi:10.1111/ele.14015/v1/review2,"Review for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",https://doi.org/10.1111/ele.14015/v1/review2,exclude_out_of_scope,"exclude_out_of_scope: non-primary record (figure, decision letter, review, preface, programme, front matter, empty title)",,
63,doi:10.1111/ele.14015/v2/decision1,"Decision letter for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",https://doi.org/10.1111/ele.14015/v2/decision1,exclude_out_of_scope,"exclude_out_of_scope: non-primary record (figure, decision letter, review, preface, programme, front matter, empty title)",,
64,doi:10.1111/ele.14015/v2/response1,"Author response for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",https://doi.org/10.1111/ele.14015/v2/response1,exclude_out_of_scope,"exclude_out_of_scope: non-primary record (figure, decision letter, review, preface, programme, front matter, empty title)",,
65,doi:10.1111/ele.14015/v2/review1,"Review for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",https://doi.org/10.1111/ele.14015/v2/review1,exclude_out_of_scope,"exclude_out_of_scope: non-primary record (figure, decision letter, review, preface, programme, front matter, empty title)",,
66,doi:10.1111/ele.14015/v3/decision1,"Decision letter for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",https://doi.org/10.1111/ele.14015/v3/decision1,exclude_out_of_scope,"exclude_out_of_scope: non-primary record (figure, decision letter, review, preface, programme, front matter, empty title)",,
67,doi:10.1111/ele.14015/v3/response1,"Author response for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",https://doi.org/10.1111/ele.14015/v3/response1,exclude_out_of_scope,"exclude_out_of_scope: non-primary record (figure, decision letter, review, preface, programme, front matter, empty title)",,
68,doi:10.1142/9789812819901_0003,PROTOCOL CONFORMANCE TESTING,https://doi.org/10.1142/9789812819901_0003,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
69,doi:10.1142/9789812819901_0004,CONFORMANCE TESTING USING MUIO SEQUENCES,https://doi.org/10.1142/9789812819901_0004,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
70,doi:10.1142/9789812819901_0009,CONFORMANCE TESTING BY ADAPTIVE UIOS,https://doi.org/10.1142/9789812819901_0009,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
71,doi:10.1186/bcr257,"'To failsafe' or 'not to failsafe', that is the question?",https://doi.org/10.1186/bcr257,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
72,doi:10.12677/dsc.2019.82019,Research on Obstacle Avoidance System and Path Planning of Unmanned Ground Vehicle Based on PX4,https://doi.org/10.12677/dsc.2019.82019,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
73,doi:10.1299/jsmermd.2024.1p2-b10,A Study of a Drone Simulator for PX4 using the Hakoniwa Technology,https://doi.org/10.1299/jsmermd.2024.1p2-b10,exclude_out_of_scope,"exclude_out_of_scope: simulation, testing or communications infrastructure without a timed safety/configuration policy or recovery behaviour",,
74,doi:10.14711/thesis-991012818169103412,Techniques for a failsafe visual inertial SLAM system,https://doi.org/10.14711/thesis-991012818169103412,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
75,doi:10.19062/2247-3173.2016.18.1.24,AN H∞ DESIGN METHOD FOR THE PITCH ATTITUDE HOLD AUTOPILOT OF A FLYING UAV,https://doi.org/10.19062/2247-3173.2016.18.1.24,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
76,doi:10.20944/preprints202409.0215.v1,IoT Integration of Failsafe Smart Building Management System,https://doi.org/10.20944/preprints202409.0215.v1,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
77,doi:10.21203/rs.3.rs-2315060/v1,Improve Model Testing by Integrating Bounded Model Checking and Coverage Guided Fuzzing,https://doi.org/10.21203/rs.3.rs-2315060/v1,exclude_out_of_scope,exclude_out_of_scope: fuzzing of non-UAV software,,
78,doi:10.21236/ada006131,Failsafe/Safe-Life Interface Criteria,https://doi.org/10.21236/ada006131,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
79,doi:10.21236/ada061666,A Failsafe Distributed Routing Protocol,https://doi.org/10.21236/ada061666,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
80,doi:10.21236/ada455450,"Development of a Novel, Two-Processor Architecture for a Small UAV Autopilot System,",https://doi.org/10.21236/ada455450,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
81,doi:10.2139/ssrn.5339433,Metaheuristic Approaches for Optimizing Uav Base Station Placement in Thz Communication for Disaster Recovery Scenarios,https://doi.org/10.2139/ssrn.5339433,exclude_out_of_scope,"exclude_out_of_scope: UAV-assisted network/communication recovery or throughput (UAV as relay/base station), not autopilot recovery",,
82,doi:10.2139/ssrn.5379148,Energy-Efficient Trajectory Planning for Uav-Assisted Communication Recovery Using Multi-Agent Graph Reinforcement Learning,https://doi.org/10.2139/ssrn.5379148,exclude_out_of_scope,"exclude_out_of_scope: UAV-assisted network/communication recovery or throughput (UAV as relay/base station), not autopilot recovery",,
83,doi:10.2139/ssrn.5641150,Energy-Efficient Trajectory Planning for UAV-Assisted Communication Recovery Using Multi-Agent Graph Reinforcement Learning,https://doi.org/10.2139/ssrn.5641150,exclude_out_of_scope,"exclude_out_of_scope: UAV-assisted network/communication recovery or throughput (UAV as relay/base station), not autopilot recovery",,
84,doi:10.2139/ssrn.6238776,Age-matched benchmark comparisons reveal region‑dependent recovery on legacy industrial sites,https://doi.org/10.2139/ssrn.6238776,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
85,doi:10.2139/ssrn.6681663,Dyadic Human-State Mediation Benchmark Charter v0.1: Benchmark Charter for AI Output → Human-State Delta → Dyadic Recovery,https://doi.org/10.2139/ssrn.6681663,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
86,doi:10.2139/ssrn.7319893,VIGOR: Distributed Multi-UAV Exploration with Connectivity Recovery in Communication-Limited Environments,https://doi.org/10.2139/ssrn.7319893,needs_full_text,connectivity recovery in communication-limited multi-UAV exploration (communication-loss recovery criterion),C087,
87,doi:10.2210/pdb1tao/pdb,Ligand PX4 complexed with Phospholipase D (1F0I),https://doi.org/10.2210/pdb1tao/pdb,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
88,doi:10.22541/au.177402886.66308404/v1,ClosRCA-Bench: An Open Topology-Grounded Benchmark and Counterfactual Recovery Framework for Self-Healing Datacenter Networks,https://doi.org/10.22541/au.177402886.66308404/v1,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
89,doi:10.2514/6.2002-4976,Rapid Development of UAV Autopilot Design Using Matlab/Simulink,https://doi.org/10.2514/6.2002-4976,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
90,doi:10.2514/6.2006-6506,GPS Autopilot Without Rate Sensors for UAV Aircraft,https://doi.org/10.2514/6.2006-6506,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
91,doi:10.2514/6.2007-2756,Autonomous UAV Control Using a 3-Sensor Autopilot,https://doi.org/10.2514/6.2007-2756,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
92,doi:10.2514/6.2008-6568,Flight-Testing of a UAV Aircraft for Autonomous Operation Using Piccolo II Autopilot,https://doi.org/10.2514/6.2008-6568,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
93,doi:10.2514/6.2009-5753,LPV Autopilot Design of a Jindivik UAV,https://doi.org/10.2514/6.2009-5753,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
94,doi:10.2514/6.2011-6449,Development of a Small UAV with Autopilot Capability,https://doi.org/10.2514/6.2011-6449,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
95,doi:10.2514/6.2021-0373,Generic UAV Autopilot Prototype Based on Adaptive Modified Incremental Backstepping,https://doi.org/10.2514/6.2021-0373,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
96,doi:10.26102/2310-6018/2025.50.3.018,Технологические аспекты проектирования беспилотного электромобиля на базе конструктора Bigo.Land и ArduPilot,https://doi.org/10.26102/2310-6018/2025.50.3.018,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
97,doi:10.31891/csit-2026-1-18,INTEGRATING ARDUPILOT SITL FOR DRONE BEHAVIOUR SIMULATION IN GAMIFIED TRAINING,https://doi.org/10.31891/csit-2026-1-18,exclude_out_of_scope,"exclude_out_of_scope: survey, review, tutorial or education material (not primary evidence)",,
98,doi:10.3390/wevj1010271,Failsafe Control Methods for EVs with the Failsafe Structure Driven by Front and Rear Wheels Independently,https://doi.org/10.3390/wevj1010271,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
99,doi:10.3403/00268144,Information technology. Telecommunications and information exchange between systems. X.25-DTE conformance testing,https://doi.org/10.3403/00268144,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
100,doi:10.3403/00268144u,Information technology. Telecommunications and information exchange between systems. X.25-DTE conformance testing,https://doi.org/10.3403/00268144u,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
101,doi:10.3403/00281065,Information technology. Telecommunications and information exchange between systems. X.25-DTE conformance testing,https://doi.org/10.3403/00281065,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
102,doi:10.3403/00281065u,Information technology. Telecommunications and information exchange between systems. X.25-DTE conformance testing,https://doi.org/10.3403/00281065u,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
103,doi:10.3403/00505020,Information technology. Open Systems Interconnection. Conformance testing methodology and framework,https://doi.org/10.3403/00505020,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
104,doi:10.3403/00505020u,Information technology. Open Systems Interconnection. Conformance testing methodology and framework,https://doi.org/10.3403/00505020u,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
105,doi:10.3403/00681726,Information technology. Open systems interconnection. Conformance testing methodology and framework,https://doi.org/10.3403/00681726,exclude_out_of_scope,exclude_out_of_scope: generic conformance-testing standard or protocol text unrelated to autopilot recovery,,
