db,id,year,title,venue,type,url,query,already_screened_d01,triage_score,triage_terms
crossref,doi:10.4324/9781843142409-18,2001,Contingency Fees and Conditional Fees in Debt Recovery Litigation,Practice Notes on Debt Recovery,book-chapter,https://doi.org/10.4324/9781843142409-18,UAV communication loss contingency recovery contract,False,4,contingency;recovery
crossref,doi:10.17721/2519-481x/2021/70-05,2021,DESIGN OF MULTIFUNCTIONAL UAV OF ROTOR TYPE ON THE BASE OF FIRMWARE ARDUPILOT,Collection of scientific works of the Military Institute of Kyiv National Taras Shevchenko University,journal-article,https://doi.org/10.17721/2519-481x/2021/70-05,PX4 ArduPilot recovery benchmark,False,4,ardupilot;uav
crossref,doi:10.7717/peerj-cs.3238/fig-5,,"Figure 5: Autonomous UAV simulation setup using Gazebo, ArduPilot, MAVProxy and MAVROS.",,component,https://doi.org/10.7717/peerj-cs.3238/fig-5,PX4 ArduPilot failsafe differential testing,False,4,ardupilot;uav
crossref,doi:10.18260/1-2--56668,,GPS Spoofing on UAV Simulation using Ardupilot,2025 ASEE Annual Conference &amp; Exposition  Proceedings,proceedings-article,https://doi.org/10.18260/1-2--56668,PX4 ArduPilot failsafe differential testing,False,4,ardupilot;uav
crossref,doi:10.7763/ijesd.2014.v5.499,2014,Oil Spill Optimized Contingency and Recovery Techniques Using ADIOS2,International Journal of Environmental Science and Development,journal-article,https://doi.org/10.7763/ijesd.2014.v5.499,UAV communication loss contingency recovery contract,False,4,contingency;recovery
crossref,doi:10.3389/fnbot.2024.1363366,2024,On designing a configurable UAV autopilot for unmanned quadrotors,Frontiers in Neurorobotics,journal-article,https://doi.org/10.3389/fnbot.2024.1363366,UAV autopilot failsafe configuration testing fuzzing,False,4,autopilot;quadrotor;uav
crossref,doi:10.12677/dsc.2018.73027,2018,Research on Improvement of Transient Control Algorithm for Dual System Hybrid VTOL UAV Based on PX4,Dynamical Systems and Control,journal-article,https://doi.org/10.12677/dsc.2018.73027,PX4 ArduPilot recovery benchmark,False,4,px4;uav
crossref,doi:10.12677/dsc.2020.92009,2020,Research on the Total Energy Control System of Composite VTOL UAV Based on Px4,Dynamical Systems and Control,journal-article,https://doi.org/10.12677/dsc.2020.92009,PX4 ArduPilot failsafe differential testing,False,4,px4;uav
crossref,doi:10.3390/proceedings2019021008,2019,UAV Trajectory Management: Ardupilot Based Trajectory Management System,The 2nd XoveTIC Conference (XoveTIC 2019),proceedings-article,https://doi.org/10.3390/proceedings2019021008,PX4 ArduPilot recovery benchmark,False,4,ardupilot;uav
arxiv,arxiv:2005.14124,2020,Active Fuzzing for Testing and Securing Cyber-Physical Systems,,,https://arxiv.org/abs/2005.14124,PX4 ArduPilot failsafe differential testing,False,3,fuzz;benchmark
arxiv,arxiv:2304.03387,2023,From Social Engineering to Quantum Threats: Safeguarding User Wallets with FailSafe,,,https://arxiv.org/abs/2304.03387,PX4 ArduPilot failsafe differential testing,False,3,failsafe
arxiv,arxiv:2103.00190,2021,Geometrically Constrained Trajectory Optimization for Multicopters,,,https://arxiv.org/abs/2103.00190,multicopter failsafe behaviour conformance testing simulation,False,3,configuration;multicopter;benchmark
arxiv,arxiv:2312.04009,2023,Programmable Turbine Failsafe System for Pico-Hydroelectric Power in the Nepal Himalayas,,,https://arxiv.org/abs/2312.04009,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.1186/bcr257,2000,"'To failsafe' or 'not to failsafe', that is the question?",Breast Cancer Research,journal-article,https://doi.org/10.1186/bcr257,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.1109/icosse58936.2023.00010,2023,A Benchmark for Design Pattern Recovery Tools,2023 International Conference on Software and System Engineering (ICoSSE),proceedings-article,https://doi.org/10.1109/icosse58936.2023.00010,PX4 ArduPilot recovery benchmark,False,3,recovery;benchmark
crossref,doi:10.21236/ada061666,1978,A Failsafe Distributed Routing Protocol,,report,https://doi.org/10.21236/ada061666,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.1299/jsmermd.2024.1p2-b10,2024,A Study of a Drone Simulator for PX4 using the Hakoniwa Technology,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),journal-article,https://doi.org/10.1299/jsmermd.2024.1p2-b10,PX4 ArduPilot recovery benchmark,False,3,px4
crossref,doi:10.1109/clustr.2003.1253338,2003,A system recovery benchmark for clusters,Proceedings IEEE International Conference on Cluster Computing CLUSTR-03,proceedings-article,https://doi.org/10.1109/clustr.2003.1253338,PX4 ArduPilot recovery benchmark,False,3,recovery;benchmark
crossref,doi:10.2139/ssrn.6238776,2026,Age-matched benchmark comparisons reveal region‑dependent recovery on legacy industrial sites,,posted-content,https://doi.org/10.2139/ssrn.6238776,PX4 ArduPilot recovery benchmark,False,3,recovery;benchmark
crossref,doi:10.1007/978-1-4842-5531-5_2,2020,ArduPilot Working Environment,Advanced Robotic Vehicles Programming,book-chapter,https://doi.org/10.1007/978-1-4842-5531-5_2,PX4 ArduPilot failsafe differential testing,False,3,ardupilot
crossref,doi:10.3403/02787843u,,"Assembly tools for screws and nuts. Hand torque tools. Requirements and test methods for design conformance testing, quality conformance testing and recalibration procedure",,standard,https://doi.org/10.3403/02787843u,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/02787843,,"Assembly tools for screws and nuts. Hand torque tools. Requirements and test methods for design conformance testing, quality conformance testing and recalibration procedure",,standard,https://doi.org/10.3403/02787843,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.1111/ele.14015/v3/response1,2022,"Author response for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",,peer-review,https://doi.org/10.1111/ele.14015/v3/response1,PX4 ArduPilot recovery benchmark,False,3,recovery;benchmark
crossref,doi:10.1111/ele.14015/v2/response1,2022,"Author response for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",,peer-review,https://doi.org/10.1111/ele.14015/v2/response1,PX4 ArduPilot recovery benchmark,False,3,recovery;benchmark
crossref,doi:10.2514/6.2007-2756,2007,Autonomous UAV Control Using a 3-Sensor Autopilot,AIAA Infotech@Aerospace 2007 Conference and Exhibit,proceedings-article,https://doi.org/10.2514/6.2007-2756,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.3403/bseniso6789,,"BS ENISO 6789-1 Hand torque tools - Requirements and test methods for design conformance testing, quality conformance testing and recalibration procedure",,standard,https://doi.org/10.3403/bseniso6789,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.1142/9789812819901_0009,1997,CONFORMANCE TESTING BY ADAPTIVE UIOS,Protocol Conformance Testing Using Unique Input/Output Sequences,book-chapter,https://doi.org/10.1142/9789812819901_0009,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.1142/9789812819901_0004,1997,CONFORMANCE TESTING USING MUIO SEQUENCES,Protocol Conformance Testing Using Unique Input/Output Sequences,book-chapter,https://doi.org/10.1142/9789812819901_0004,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.4018/978-1-4666-1580-9.ch009,,CONFU,Security-Aware Systems Applications and Software Development Methods,book-chapter,https://doi.org/10.4018/978-1-4666-1580-9.ch009,UAV autopilot failsafe configuration testing fuzzing,False,3,fuzz;configuration
crossref,doi:10.4018/jsse.2010070103,2010,CONFU,International Journal of Secure Software Engineering,journal-article,https://doi.org/10.4018/jsse.2010070103,UAV autopilot failsafe configuration testing fuzzing,False,3,fuzz;configuration
crossref,doi:10.22541/au.177402886.66308404/v1,2026,ClosRCA-Bench: An Open Topology-Grounded Benchmark and Counterfactual Recovery Framework for Self-Healing Datacenter Networks,,posted-content,https://doi.org/10.22541/au.177402886.66308404/v1,PX4 ArduPilot recovery benchmark,False,3,recovery;benchmark
crossref,doi:10.1109/cca.2002.1040200,,Combined adaptive autopilot for an UAV flight control,Proceedings of the International Conference on Control Applications,proceedings-article,https://doi.org/10.1109/cca.2002.1040200,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.1109/ares.2010.22,2010,Configuration Fuzzing for Software Vulnerability Detection,"2010 International Conference on Availability, Reliability and Security",proceedings-article,https://doi.org/10.1109/ares.2010.22,UAV autopilot failsafe configuration testing fuzzing,False,3,fuzz;configuration
crossref,doi:10.1002/9780470987773.ch5,2008,Conformance Testing,Testing UMTS,other,https://doi.org/10.1002/9780470987773.ch5,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.1007/springerreference_70973,,"Conformance Testing for Biometric Data Interchange Formats, Standardization of",SpringerReference,reference-entry,https://doi.org/10.1007/springerreference_70973,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.6028/nist.ir.7210,2005,Conformance testing of the government smart card,,report,https://doi.org/10.6028/nist.ir.7210,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.1109/mosatt48908.2019.8944105,2019,Data Acquisition System for UAV Autopilot and Operator Evaluation,2019 Modern Safety Technologies in Transportation (MOSATT),proceedings-article,https://doi.org/10.1109/mosatt48908.2019.8944105,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.1111/ele.14015/v3/decision1,2022,"Decision letter for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",,peer-review,https://doi.org/10.1111/ele.14015/v3/decision1,PX4 ArduPilot recovery benchmark,False,3,recovery;benchmark
crossref,doi:10.1111/ele.14015/v1/decision1,2022,"Decision letter for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",,peer-review,https://doi.org/10.1111/ele.14015/v1/decision1,PX4 ArduPilot recovery benchmark,False,3,recovery;benchmark
crossref,doi:10.1111/ele.14015/v2/decision1,2022,"Decision letter for ""Acoustic restoration: Using soundscapes to benchmark and fast‐track recovery of ecological communities""",,peer-review,https://doi.org/10.1111/ele.14015/v2/decision1,PX4 ArduPilot recovery benchmark,False,3,recovery;benchmark
crossref,doi:10.1109/tencon.1989.176963,,Design and analysis of a fault tolerant multiprocessor system with failsafe and failsafe-redundant interfacing schemes,Fourth IEEE Region 10 International Conference TENCON,proceedings-article,https://doi.org/10.1109/tencon.1989.176963,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.5626/jok.2024.51.6.528,2024,Developement of SITL &amp; HITL System based on PX4-Matlab for VTOL Test,Journal of KIISE,journal-article,https://doi.org/10.5626/jok.2024.51.6.528,PX4 ArduPilot failsafe differential testing,False,3,px4
crossref,doi:10.21236/ada455450,2006,"Development of a Novel, Two-Processor Architecture for a Small UAV Autopilot System,",,report,https://doi.org/10.21236/ada455450,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.2514/6.2011-6449,2011,Development of a Small UAV with Autopilot Capability,AIAA Atmospheric Flight Mechanics Conference,proceedings-article,https://doi.org/10.2514/6.2011-6449,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.1109/sbft66712.2025.00014,2025,Differential Performance Fuzzing of Configuration Options,2025 IEEE/ACM International Workshop on Search-Based and Fuzz Testing (SBFT),proceedings-article,https://doi.org/10.1109/sbft66712.2025.00014,UAV autopilot failsafe configuration testing fuzzing,False,3,fuzz;configuration
crossref,doi:10.2139/ssrn.6681663,2026,Dyadic Human-State Mediation Benchmark Charter v0.1: Benchmark Charter for AI Output → Human-State Delta → Dyadic Recovery,,posted-content,https://doi.org/10.2139/ssrn.6681663,PX4 ArduPilot recovery benchmark,False,3,recovery;benchmark
crossref,doi:10.2139/ssrn.5641150,2025,Energy-Efficient Trajectory Planning for UAV-Assisted Communication Recovery Using Multi-Agent Graph Reinforcement Learning,,posted-content,https://doi.org/10.2139/ssrn.5641150,UAV communication loss contingency recovery contract,False,3,recovery;uav
crossref,doi:10.2139/ssrn.5379148,2025,Energy-Efficient Trajectory Planning for Uav-Assisted Communication Recovery Using Multi-Agent Graph Reinforcement Learning,,posted-content,https://doi.org/10.2139/ssrn.5379148,UAV communication loss contingency recovery contract,False,3,recovery;uav
crossref,doi:10.3390/wevj1010271,2007,Failsafe Control Methods for EVs with the Failsafe Structure Driven by Front and Rear Wheels Independently,World Electric Vehicle Journal,journal-article,https://doi.org/10.3390/wevj1010271,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.1007/978-94-009-0429-3,1991,Failsafe Control Systems,,book,https://doi.org/10.1007/978-94-009-0429-3,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.4324/9781315187662,2018,Failsafe IS Project Delivery,,book,https://doi.org/10.4324/9781315187662,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.1021/acsmacrolett.6c00072.s003,,Failsafe Interstitial Design Enables Decoupled Control of Stiffness and Toughness,,component,https://doi.org/10.1021/acsmacrolett.6c00072.s003,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.1007/978-981-15-3138-5_12,2020,Failsafe Logic Design Experiment,Multicopter Design and Control Practice,book-chapter,https://doi.org/10.1007/978-981-15-3138-5_12,multicopter failsafe behaviour conformance testing simulation,False,3,failsafe
crossref,doi:10.1016/0011-684x(83)90260-5,1983,Failsafe computing,Data Processing,journal-article,https://doi.org/10.1016/0011-684x(83)90260-5,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.1037/e719372011-032,2009,Failsafe in Consciousness,PsycEXTRA Dataset,dataset,https://doi.org/10.1037/e719372011-032,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.21236/ada006131,1975,Failsafe/Safe-Life Interface Criteria,,report,https://doi.org/10.21236/ada006131,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.7717/peerj-cs.3238/fig-3,,"Figure 3: Camera coordinate system (Fu et al., 2023) includes Gazebo IRIS drone model (from ArduPilot Gazebo plugin, licensed under LGPL-3.0).",,component,https://doi.org/10.7717/peerj-cs.3238/fig-3,PX4 ArduPilot recovery benchmark,False,3,ardupilot
crossref,doi:10.1109/access.2025.3596641,2025,Finding Device Driver Bugs With Fuzzing PCIe Configuration Input,IEEE Access,journal-article,https://doi.org/10.1109/access.2025.3596641,UAV autopilot failsafe configuration testing fuzzing,False,3,fuzz;configuration
crossref,doi:10.1016/s0167-4048(98)80077-1,1998,Firewalls aren't failsafe,Computers &amp; Security,journal-article,https://doi.org/10.1016/s0167-4048(98)80077-1,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.2514/6.2008-6568,2008,Flight-Testing of a UAV Aircraft for Autonomous Operation Using Piccolo II Autopilot,AIAA Atmospheric Flight Mechanics Conference and Exhibit,proceedings-article,https://doi.org/10.2514/6.2008-6568,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.70675/00ae7f23z6964z4102zb62ez392357a8ed33,,Formal verification of an UAV autopilot : Static analysis and Verified Code Generation,,dissertation,https://doi.org/10.70675/00ae7f23z6964z4102zb62ez392357a8ed33,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.2514/6.2006-6506,2006,GPS Autopilot Without Rate Sensors for UAV Aircraft,AIAA Atmospheric Flight Mechanics Conference and Exhibit,proceedings-article,https://doi.org/10.2514/6.2006-6506,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.2514/6.2021-0373,2021,Generic UAV Autopilot Prototype Based on Adaptive Modified Incremental Backstepping,AIAA Scitech 2021 Forum,proceedings-article,https://doi.org/10.2514/6.2021-0373,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.3403/30033460u,,Geographic information. Conformance and testing,,standard,https://doi.org/10.3403/30033460u,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/02152295u,,Geographic information. Conformance and testing,,standard,https://doi.org/10.3403/02152295u,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/02152295,,Geographic information. Conformance and testing,,standard,https://doi.org/10.3403/02152295,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/30399518,,Geographic information. Conformance and testing,,standard,https://doi.org/10.3403/30399518,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.1007/978-981-10-3382-7_14,2017,Health Evaluation and Failsafe,Introduction to Multicopter Design and Control,book-chapter,https://doi.org/10.1007/978-981-10-3382-7_14,multicopter failsafe behaviour conformance testing simulation,False,3,failsafe
crossref,doi:10.31891/csit-2026-1-18,2026,INTEGRATING ARDUPILOT SITL FOR DRONE BEHAVIOUR SIMULATION IN GAMIFIED TRAINING,Computer systems and information technologies,journal-article,https://doi.org/10.31891/csit-2026-1-18,PX4 ArduPilot recovery benchmark,False,3,ardupilot
crossref,doi:10.21203/rs.3.rs-2315060/v1,2022,Improve Model Testing by Integrating Bounded Model Checking and Coverage Guided Fuzzing,,posted-content,https://doi.org/10.21203/rs.3.rs-2315060/v1,UAV autopilot failsafe configuration testing fuzzing,False,3,fuzz;benchmark
crossref,doi:10.1109/cadiag.2017.8075643,2017,Improved modular UAV autopilot simulator for Pinguin BE aircraft,"2017 International Conference on Control, Automation and Diagnosis (ICCAD)",proceedings-article,https://doi.org/10.1109/cadiag.2017.8075643,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.5626/jok.2025.52.3.227,2025,Improvement of XRCE-DDS Communication System for Swarm Environment of Unmanned Vehicles Based on PX4-ROS2,Journal of KIISE,journal-article,https://doi.org/10.5626/jok.2025.52.3.227,PX4 ArduPilot failsafe differential testing,False,3,px4
crossref,doi:10.3403/30175531u,,Information technology. Conformance testing methodology for biometric data interchange formats defined in ISO/IEC 19794,,standard,https://doi.org/10.3403/30175531u,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/30175531,,Information technology. Conformance testing methodology for biometric data interchange formats defined in ISO/IEC 19794,,standard,https://doi.org/10.3403/30175531,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00505020u,,Information technology. Open Systems Interconnection. Conformance testing methodology and framework,,standard,https://doi.org/10.3403/00505020u,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00505020,,Information technology. Open Systems Interconnection. Conformance testing methodology and framework,,standard,https://doi.org/10.3403/00505020,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00681726u,,Information technology. Open systems interconnection. Conformance testing methodology and framework,,standard,https://doi.org/10.3403/00681726u,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00681726,,Information technology. Open systems interconnection. Conformance testing methodology and framework,,standard,https://doi.org/10.3403/00681726,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00776132,,Information technology. Open systems interconnection. Conformance testing methodology and framework,,standard,https://doi.org/10.3403/00776132,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00776132u,,Information technology. Open systems interconnection. Conformance testing methodology and framework,,standard,https://doi.org/10.3403/00776132u,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00268144,,Information technology. Telecommunications and information exchange between systems. X.25-DTE conformance testing,,standard,https://doi.org/10.3403/00268144,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00268144u,,Information technology. Telecommunications and information exchange between systems. X.25-DTE conformance testing,,standard,https://doi.org/10.3403/00268144u,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00867361,,Information technology. Telecommunications and information exchange between systems. X.25-DTE conformance testing,,standard,https://doi.org/10.3403/00867361,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00281065,,Information technology. Telecommunications and information exchange between systems. X.25-DTE conformance testing,,standard,https://doi.org/10.3403/00281065,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/00281065u,,Information technology. Telecommunications and information exchange between systems. X.25-DTE conformance testing,,standard,https://doi.org/10.3403/00281065u,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.1109/acc.2012.6315053,2012,Integrated guidance and autopilot for a path-following UAV via high-order sliding modes,2012 American Control Conference (ACC),proceedings-article,https://doi.org/10.1109/acc.2012.6315053,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.3403/30427967,,Intelligent transport systems. ESafety. ECall end to end conformance testing,,standard,https://doi.org/10.3403/30427967,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.3403/30300578u,,Intelligent transport systems. ESafety. ECall end to end conformance testing,,standard,https://doi.org/10.3403/30300578u,multicopter failsafe behaviour conformance testing simulation,False,3,conformance
crossref,doi:10.20944/preprints202409.0215.v1,2024,IoT Integration of Failsafe Smart Building Management System,,posted-content,https://doi.org/10.20944/preprints202409.0215.v1,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.2514/6.2009-5753,2009,LPV Autopilot Design of a Jindivik UAV,"AIAA Guidance, Navigation, and Control Conference",proceedings-article,https://doi.org/10.2514/6.2009-5753,UAV autopilot failsafe configuration testing fuzzing,False,3,autopilot;uav
crossref,doi:10.2210/pdb1tao/pdb,2005,Ligand PX4 complexed with Phospholipase D (1F0I),,component,https://doi.org/10.2210/pdb1tao/pdb,PX4 ArduPilot failsafe differential testing,False,3,px4
crossref,doi:10.1109/iv55156.2024.10588730,2024,MRS ArduPilot: An Adaptive ArduPilot Architecture Based on Model Reference Stabilization,2024 IEEE Intelligent Vehicles Symposium (IV),proceedings-article,https://doi.org/10.1109/iv55156.2024.10588730,PX4 ArduPilot failsafe differential testing,False,3,ardupilot
crossref,doi:10.1080/08832320903449451,2010,Making Knowledge Delivery Failsafe: Adding Step Zero in Hypothesis Testing,Journal of Education for Business,journal-article,https://doi.org/10.1080/08832320903449451,PX4 ArduPilot failsafe differential testing,False,3,failsafe
crossref,doi:10.2139/ssrn.5339433,2025,Metaheuristic Approaches for Optimizing Uav Base Station Placement in Thz Communication for Disaster Recovery Scenarios,,posted-content,https://doi.org/10.2139/ssrn.5339433,UAV communication loss contingency recovery contract,False,3,recovery;uav
